Week,Season,Send exactly this,Aim for,If they dry up,Difficulty,Mins (for totals)
1,Where you come from,"Who were your mother and father — their names, and what they did. Did you get on with them?",3–4 minutes,"What did they want for themselves, before the children came along?",Easy,4
2,Where you come from,The house you grew up in — walk me through the front door. Which room did everybody end up in?,3–4 minutes,What could you hear from your bed at night?,Easy,4
3,Where you come from,"Your full name, middle names and all — where did each part come from? Did you like it, and what did people actually call you?",3–4 minutes,Were you named after somebody? Who chose it? Any nickname you hated?,Easy,4
4,Where you come from,"Your brothers and sisters, oldest to youngest. Who were you closest to, and who did you fight with?",3–4 minutes,"Where did you come in the order, and did that suit you?",Easy,4
5,Where you come from,"What did your family eat, and who cooked it? What did you dread being given?",2–3 minutes,Was there a dish they were known for? Do you still make it?,Easy,3
6,Where you come from,The schools you went to. Were you happy there?,3–4 minutes,Strict or not? Did you board? Were you any good at it?,Easy,4
7,Where you come from,A teacher you still remember. What did they say to you that stuck?,2–3 minutes,For the right reasons or the wrong ones.,Medium,3
8,Where you come from,"What did you do after school, before you were old enough to work? Where did you go when nobody knew where you were?",2–3 minutes,Who were your two closest friends then?,Easy,3
9,Where you come from,Your grandparents — what do you remember of them? What did their house smell like?,3–4 minutes,What did they call you? What did you call them?,Medium,4
10,Where you come from,"Sundays, when you were a boy. What was the routine, and who came?",2–3 minutes,"Church, dinner, visitors, the wireless.",Easy,3
11,Where you come from,"The first time you remember being properly frightened. How old were you, and who came to get you?",2–3 minutes,Did you tell anybody at the time?,Medium,3
12,Where you come from,What did your parents worry about? And what did they never talk about?,3–4 minutes,"Money, war, health, you.",Medium,4
13,Where you come from,"Find a photograph of yourself as a child and hold it up to the camera. Where was it taken, and what happened that day?",3–4 minutes,"Who else is in it, and what became of them?",Easy,4
14,Becoming yourself,What did you want to be at fifteen? What happened to that plan?,3–4 minutes,When did you know it wasn't going to happen — and do you still think about it?,Medium,4
15,Becoming yourself,"Your first job, and your first wage. Who taught you to do it properly?",3–4 minutes,What did they actually have you doing all day?,Easy,4
16,Becoming yourself,What did you spend that first wage on? Did any of it go to your mother?,2–3 minutes,Was it worth it?,Easy,3
17,Becoming yourself,The first time you fell in love. Where were you standing when you realised?,3–4 minutes,"What did you do about it, and how did it end?",Medium,4
18,Becoming yourself,"What music did you listen to, and where did you hear it? Sing me a bit of it if you can.",2–3 minutes,"Dances, records, the radio. Who did you go with?",Easy,3
19,Becoming yourself,"The first time you left home. Who saw you off, and how did that first night feel?",3–4 minutes,Did you write home? Did you want to come back?,Medium,4
20,Becoming yourself,"A friend from those years. What became of them, and when did you last speak?",3–4 minutes,What did the two of you get up to?,Medium,4
