Week,"The whole message, ready to paste"
1,"Week 1.

Who were your mother and father — their names, and what they did. Did you get on with them?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
2,"Week 2.

The house you grew up in — walk me through the front door. Which room did everybody end up in?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
3,"Week 3.

Your full name, middle names and all — where did each part come from? Did you like it, and what did people actually call you?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
4,"Week 4.

Your brothers and sisters, oldest to youngest. Who were you closest to, and who did you fight with?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
5,"Week 5.

What did your family eat, and who cooked it? What did you dread being given?

2–3 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
6,"Week 6.

The schools you went to. Were you happy there?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
7,"Week 7.

A teacher you still remember. What did they say to you that stuck?

2–3 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
8,"Week 8.

What did you do after school, before you were old enough to work? Where did you go when nobody knew where you were?

2–3 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
9,"Week 9.

Your grandparents — what do you remember of them? What did their house smell like?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
10,"Week 10.

Sundays, when you were a boy. What was the routine, and who came?

2–3 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
11,"Week 11.

The first time you remember being properly frightened. How old were you, and who came to get you?

2–3 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
12,"Week 12.

What did your parents worry about? And what did they never talk about?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
13,"Week 13.

Find a photograph of yourself as a child and hold it up to the camera. Where was it taken, and what happened that day?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
14,"Week 14.

What did you want to be at fifteen? What happened to that plan?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
15,"Week 15.

Your first job, and your first wage. Who taught you to do it properly?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
16,"Week 16.

What did you spend that first wage on? Did any of it go to your mother?

2–3 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
17,"Week 17.

The first time you fell in love. Where were you standing when you realised?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
18,"Week 18.

What music did you listen to, and where did you hear it? Sing me a bit of it if you can.

2–3 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
19,"Week 19.

The first time you left home. Who saw you off, and how did that first night feel?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
20,"Week 20.

A friend from those years. What became of them, and when did you last speak?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
21,"Week 21.

Something you did that your parents never found out about. It stays in the family.

2–3 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
